"","ID","text","created","isRetweet","day","hour","sentiment","hour_sum_sentiment"
"2",2,"why waist the money","2019-02-17 15:18:33",FALSE,"Sunday",15,0.3,11.1308359399049
"4",4,"miley was fantastic","2019-02-17 15:13:55",FALSE,"Sunday",15,0.433012701892219,11.1308359399049
"5",5,"im perplexed by this","2019-02-17 15:13:34",FALSE,"Sunday",15,-0.5,11.1308359399049
"6",6,"good morninghow much bbq sauce did you put in your burgers its not listed on the ingredients lis","2019-02-17 15:12:03",FALSE,"Sunday",15,0.318198051533946,11.1308359399049
"7",7,"in the late s visiting a couple friends of mine sharing abt a hysterical show called south park","2019-02-17 15:09:48",FALSE,"Sunday",15,-0.235702260395516,11.1308359399049
"9",9,"your spotify will be full of dolly for months","2019-02-17 15:04:34",FALSE,"Sunday",15,0,11.1308359399049
"10",10,"totally agree about the edit buttonwe dont need it","2019-02-17 15:02:10",FALSE,"Sunday",15,0.3,11.1308359399049
"11",11,"yall gotta read this","2019-02-17 15:01:49",FALSE,"Sunday",15,0,11.1308359399049
"12",12,"first time making banana bread","2019-02-17 14:59:55",FALSE,"Sunday",14,0,8.88783720929515
"13",13,"the new cookbook by","2019-02-17 14:58:47",FALSE,"Sunday",14,0.4,8.88783720929515
"15",15,"hello","2019-02-17 14:57:51",FALSE,"Sunday",14,0,8.88783720929515
"16",16,"i didnt knowwas married to the lead singer of green day","2019-02-17 14:52:02",FALSE,"Sunday",14,-0.0753778361444409,8.88783720929515
"18",18,"love it","2019-02-17 14:50:16",FALSE,"Sunday",14,0.530330085889911,8.88783720929515
"19",19,"is it acceptable to make chicken pot piedays in a rowchickenpotpie askingforme food cooking","2019-02-17 14:49:27",FALSE,"Sunday",14,0.240535117721182,8.88783720929515
"20",20,"s carrot coconut soup","2019-02-17 14:49:05",FALSE,"Sunday",14,0,8.88783720929515
"21",21,"just waiting for a funnycomment","2019-02-17 14:48:43",FALSE,"Sunday",14,0,8.88783720929515
"23",23,"iamfueledby this inbox and the hate this person held with it sundaythoughts sundaymorning","2019-02-17 14:43:37",FALSE,"Sunday",14,-0.208012573584461,8.88783720929515
"24",24,"my queenjust came on the tvmy idiot husband was like whos thatcurrently googling divorce lawyers","2019-02-17 14:41:29",FALSE,"Sunday",14,-0.516397779494322,8.88783720929515
"25",25,"my aunt made this dutch baby pancake heaven from cravingsive never had it before today absol","2019-02-17 14:40:54",FALSE,"Sunday",14,0.4125,8.88783720929515
"26",26,"i think were in such a i want it all i want it now culture some of my fave food","2019-02-17 14:39:27",FALSE,"Sunday",14,0.447213595499958,8.88783720929515
"27",27," ","2019-02-17 14:38:59",FALSE,"Sunday",14,0,8.88783720929515
"28",28,"those who hate need to reflect positivelymeghan spreadthelove megulators kensingtonroyal","2019-02-17 14:35:16",TRUE,"Sunday",14,-0.237170824512628,8.88783720929515
"29",29,"that sure was some racist ass shit you said on rediculousness stupid shit white people do really fu","2019-02-17 14:35:15",FALSE,"Sunday",14,-1.27279220613579,8.88783720929515
"31",31,"thats my girl","2019-02-17 14:26:20",FALSE,"Sunday",14,0,8.88783720929515
"35",35,"if i can fly l should like to
you","2019-02-17 14:21:31",FALSE,"Sunday",14,0.166666666666667,8.88783720929515
"39",39,"not surprised to seestand up for human rightspalestine he did marrywho loves food","2019-02-17 14:16:56",FALSE,"Sunday",14,0.38829013735766,8.88783720929515
"41",41,"yesssssssss","2019-02-17 14:12:34",FALSE,"Sunday",14,0,8.88783720929515
"42",42,"glad you finally got roped inall latedont be waiting for twitter netflix will tell you when","2019-02-17 14:12:22",FALSE,"Sunday",14,0.1875,8.88783720929515
"43",43,"admin bana kz ayarla","2019-02-17 14:11:29",FALSE,"Sunday",14,0,8.88783720929515
"44",44,"hahaha yas titos","2019-02-17 14:10:54",FALSE,"Sunday",14,0,8.88783720929515
"45",45,"some ppl cry happy tears","2019-02-17 14:08:16",FALSE,"Sunday",14,-0.357770876399966,8.88783720929515
"49",49,"watching mamaepisode of ridiculousness ","2019-02-17 14:04:00",FALSE,"Sunday",14,0,8.88783720929515
"50",50,"bed and laid in my poss for several more hours until i felt well enough to move needless to say he","2019-02-17 14:03:06",FALSE,"Sunday",14,0.128748555239236,8.88783720929515
"52",52,"puddle of piss and he looked over at me and goes what is this wetness i died a little lol i had j","2019-02-17 14:02:13",FALSE,"Sunday",14,-0.145960089839952,8.88783720929515
"54",54,"vodka in my hand and was bragging about how much i could drink lol he egged me on so of course i h","2019-02-17 14:00:57",FALSE,"Sunday",14,0,8.88783720929515
"57",57,"starting my birthday off theway designertowel champagnepizzabday","2019-02-17 14:00:04",FALSE,"Sunday",14,0.302371578407382,8.88783720929515
"58",58,"there are so many countless stories hopefully my boyfriend doesnt see this one time i left my fri","2019-02-17 13:59:49",FALSE,"Sunday",13,0.14142135623731,14.8899779013811
"59",59,"my husband steals my phonetakes pictures of his penis next he saves it as my screensaver all wo","2019-02-17 13:57:31",FALSE,"Sunday",13,0.0707106781186548,14.8899779013811
"60",60,"do you andshare the brain cell","2019-02-17 13:56:35",FALSE,"Sunday",13,0,14.8899779013811
"61",61,"thedumplinis getting an omelette and they must be out of cheese so he declared an emergency","2019-02-17 13:54:41",FALSE,"Sunday",13,-0.1875,14.8899779013811
"62",62,"mmmmmmm","2019-02-17 13:53:27",FALSE,"Sunday",13,0,14.8899779013811
"63",63,"im about to change my entire kitchen to match this linegiven its only about the","2019-02-17 13:51:08",FALSE,"Sunday",13,0,14.8899779013811
"66",66,"its beautiful","2019-02-17 13:49:19",FALSE,"Sunday",13,0.530330085889911,14.8899779013811
"68",68,"yessssss they are clueless","2019-02-17 13:47:38",FALSE,"Sunday",13,-0.25,14.8899779013811
"69",69,"finally another cgm follower  lotsa ignorance in this thread from the straight haired girls","2019-02-17 13:47:15",FALSE,"Sunday",13,0,14.8899779013811
"72",72,"a lot of people here dont have natural texture that they dont want heat on and it shows 

not the","2019-02-17 13:44:54",FALSE,"Sunday",13,-0.134164078649987,14.8899779013811
"74",74,"you werent wrong","2019-02-17 13:40:34",FALSE,"Sunday",13,0.433012701892219,14.8899779013811
"75",75,"just watched your christmas special with your hubbysaved on dvr since decembera dose of sunsh","2019-02-17 13:37:44",FALSE,"Sunday",13,0.206559111797729,14.8899779013811
"76",76,"burned my newwok like an asshole last night this morning using internet tricks to fix it baking s","2019-02-17 13:37:36",FALSE,"Sunday",13,-0.200346921336188,14.8899779013811
"78",78,"its so sweeti loved that film","2019-02-17 13:34:04",FALSE,"Sunday",13,0.204124145231932,14.8899779013811
"79",79,"what time is it on","2019-02-17 13:32:55",FALSE,"Sunday",13,0,14.8899779013811
"82",82,"i stalkon instagram mainly for get food and recipes lol","2019-02-17 13:26:58",FALSE,"Sunday",13,0.126491106406735,14.8899779013811
"83",83,"i could literally taste this in my mind before remembering the name of the fruit","2019-02-17 13:24:24",FALSE,"Sunday",13,0,14.8899779013811
"84",84,"was just looking for a dinner recipe with my boyfriend and he goes ooh cheesy tagine yum i was looking at a","2019-02-17 13:21:19",FALSE,"Sunday",13,0.181220608902269,14.8899779013811
"86",86,"its only three hours if you diffuse itpeople crack me up they think curly hair is so much easie","2019-02-17 13:19:48",FALSE,"Sunday",13,-0.114707866935281,14.8899779013811
"91",91,"i wonder iflistens tocuz this producer is awake at am is on twitter and for some re","2019-02-17 12:58:41",FALSE,"Sunday",12,0.339549875050866,16.8601148717359
"92",92,"really do tell lol","2019-02-17 12:56:40",FALSE,"Sunday",12,0,16.8601148717359
"93",93,"we tweetfromtheseat all the time its where we doo our best thinking","2019-02-17 12:56:17",TRUE,"Sunday",12,0.144337567297406,16.8601148717359
"95",95,"every day but the news is not particularly interesting","2019-02-17 12:51:18",FALSE,"Sunday",12,-0.05,16.8601148717359
"99",99,"in case you needed another reason to loveand","2019-02-17 12:32:55",FALSE,"Sunday",12,0.212132034355964,16.8601148717359
"100",100,"wow can i likeandmore than i already do","2019-02-17 12:29:53",FALSE,"Sunday",12,0.176776695296637,16.8601148717359
"103",103,"youve limitedthe account of supreme leader of iriranbecaz of a tweet you","2019-02-17 12:12:41",FALSE,"Sunday",12,0.21650635094611,16.8601148717359
"104",104,"heythanks for the recipe and inspo you were a central theme to our galentines  just channeling","2019-02-17 12:05:36",FALSE,"Sunday",12,0,16.8601148717359
"108",108,"im pretty sure im going to need all of this","2019-02-17 11:53:16",FALSE,"Sunday",11,0.426907484122731,6.77612878590519
"109",109,"me and my mum are trying your milanese chicken today ","2019-02-17 11:51:20",FALSE,"Sunday",11,0,6.77612878590519
"118",118,"really","2019-02-17 11:29:53",FALSE,"Sunday",11,0,6.77612878590519
"122",122,"being president aside what a vile human being","2019-02-17 11:21:53",TRUE,"Sunday",11,-0.265165042944955,6.77612878590519
"123",123,"if you want to felt better about an embarrassing moment or enjoy cringing th","2019-02-17 11:18:49",FALSE,"Sunday",11,0.21380899352994,6.77612878590519
"124",124,"bravo","2019-02-17 11:09:42",FALSE,"Sunday",11,1,6.77612878590519
"125",125,"snack","2019-02-17 11:04:08",FALSE,"Sunday",11,0.4,6.77612878590519
"127",127,"im gonna start hanging out in the alley of sur sitting on the abandoned motorcycle just to watch pump rules live","2019-02-17 10:58:51",TRUE,"Sunday",10,-0.163663417676994,3.5994822415409
"128",128,"always with the pizza
induction upcoming
roll up your pant leg aoc
then drop to your knees
","2019-02-17 10:51:39",FALSE,"Sunday",10,0.0970142500145332,3.5994822415409
"130",130," sis youre late on dumplin likewas late with birdboxguess youre evens","2019-02-17 10:48:57",FALSE,"Sunday",10,-0.150755672288882,3.5994822415409
"131",131,"i was gifted queen s cook book and finally sat down to have a good look only to find my own mothe","2019-02-17 10:46:16",FALSE,"Sunday",10,0.223860752173391,3.5994822415409
"132",132,"i fell asleep afterminutes of this what happens at the end does someone die is she ok","2019-02-17 10:45:24",FALSE,"Sunday",10,-0.303169531295416,3.5994822415409
"133",133,"soooooowont setup the edit option and they shouldnt until trump is out of office dont need ivana go","2019-02-17 10:44:55",FALSE,"Sunday",10,0.117851130197758,3.5994822415409
"135",135,"lmaodont take mom","2019-02-17 10:40:57",FALSE,"Sunday",10,0,3.5994822415409
"136",136,"lol did she the mall thats so cute","2019-02-17 10:40:19",FALSE,"Sunday",10,0.265165042944955,3.5994822415409
"137",137,"look at s man i stan that whole family so much","2019-02-17 10:36:19",FALSE,"Sunday",10,0,3.5994822415409
"142",142,"andandand","2019-02-17 10:21:18",FALSE,"Sunday",10,0,3.5994822415409
"144",144,"cantweet me a picture of her nails so i can show my nail lady how to do my nails ","2019-02-17 10:07:30",FALSE,"Sunday",10,0,3.5994822415409
"145",145,"the more i eat the hungrier i get its like some sort of food benjamin button shit","2019-02-17 10:07:26",TRUE,"Sunday",10,0.26921454379033,3.5994822415409
"149",149,"encyclopedias are not going to answer my random questions that keep me up atam like do","2019-02-17 09:53:50",FALSE,"Sunday",9,0.125,9.26460191941208
"152",152,"she also went to the airport for a flight after th","2019-02-17 09:32:10",FALSE,"Sunday",9,0,9.26460191941208
"154",154,"is that against","2019-02-17 09:30:39",FALSE,"Sunday",9,0,9.26460191941208
"155",155,"kaitlin is the gun girl who graduated from kent","2019-02-17 09:30:17",FALSE,"Sunday",9,-0.166666666666667,9.26460191941208
"156",156,"crackkk
tu abuelo estara muy contento de verte tan y tan creativo como l","2019-02-17 09:29:37",FALSE,"Sunday",9,0,9.26460191941208
"158",158,"howclever lets add sexist to that as well","2019-02-17 09:23:50",FALSE,"Sunday",9,-0.0707106781186547,9.26460191941208
"159",159,"valentines pizza","2019-02-17 09:20:57",FALSE,"Sunday",9,0,9.26460191941208
"161",161,"watching folding laundry tears snuck up my dingo looked concerned","2019-02-17 09:13:29",FALSE,"Sunday",9,-0.442718872423573,9.26460191941208
"166",166,"did they call an unlicensed ambulance","2019-02-17 08:59:38",FALSE,"Sunday",8,-0.204124145231932,8.64873735221651
"175",175,"needs to bring back headband of the day","2019-02-17 08:37:37",FALSE,"Sunday",8,0,8.64873735221651
"179",179,"this is and i am not just saying this the best thread i have ever had the honor of reading","2019-02-17 08:32:35",TRUE,"Sunday",8,0.134164078649987,8.64873735221651
"182",182,"been up for hours preparing my presentation onfor my social media class hey chrissy ill let you","2019-02-17 08:26:47",FALSE,"Sunday",8,-0.121267812518166,8.64873735221651
"184",184,"heres lunas lost brother","2019-02-17 08:25:27",FALSE,"Sunday",8,-0.175,8.64873735221651
"188",188,"i had to know more wasnt disappointed","2019-02-17 08:15:23",TRUE,"Sunday",8,0.0755928946018454,8.64873735221651
"189",189,"this is the chicken of my dreams for the last week tell me it didnt disappointloves from uk xx","2019-02-17 08:14:43",FALSE,"Sunday",8,0.0573539334676404,8.64873735221651
"190",190,"how much does s kid look like him its splitting image","2019-02-17 08:09:16",FALSE,"Sunday",8,0.120604537831105,8.64873735221651
"191",191,"mukhang masarap yan menngay","2019-02-17 08:04:34",FALSE,"Sunday",8,0,8.64873735221651
"194",194,"these look exactly like my workout soles because i work out as much as this chick gardens","2019-02-17 07:56:33",TRUE,"Sunday",7,0.18190171877725,20.5399503244031
"195",195,"hello we are robots beedoo boop smiling is opening your lips and exposing your teeth until you feel a light tension on t","2019-02-17 07:56:28",TRUE,"Sunday",7,-0.0312771621085612,20.5399503244031
"196",196,"peepee wrote thisyears ago today","2019-02-17 07:55:56",TRUE,"Sunday",7,0,20.5399503244031
